SMILES,Malaria
Cc1cc(nc(NC(=N)Nc2ccc(Cl)cc2)n1)N1CCC=CC1,-0.10661004163996884
Cl.COC(=O)c1cc(ccc1O)C(O)CNC(C)CCCc1ccccc1,-0.12941221754845295
Cl.COC(=O)c1cc(ccc1O)C(O)CNC(C)CCc1cccc(F)c1,0.0707016459462461
COc1ccc(cc1)N=N(=O)c1ccccc1N(=O)=Nc1ccc(OC)cc1,-0.005474567495056376
CCN(CC)c1ccc(cc1)C(c1ccc(cc1)N(CC)CC)c1cccc(c1)N(=O)=O,-0.4191669756815958
Clc1ccc(NC(=S)NN=Cc2ccccn2)cc1Cl,-0.11446454634566909
FC(F)(F)c1cccc(NC(=S)NN=Cc2ccccn2)c1,-0.4605662237730885
O=C1OC(c2ccccc12)(c1cc2ccccc2n1S(=O)(=O)c1ccccc1)c1cc2ccccc2n1S(=O)(=O)c1ccccc1,-0.07245775401958048
Cl.CN(CC(O)c1cc(OCc2ccccc2)c(OCc2ccccc2)cc1C)Cc1ccccc1,-0.09190350312678038
Cl.CC(CCc1ccccc1)NCC(O)c1cccc(c1)C(F)(F)F,-0.14923596876780704
Cl.COc1ccc(cc1C(F)(F)F)C(O)CNC(C)CCc1ccccc1,-1.1523576125804764
Cl.COc1ccc(cc1C(F)(F)F)C(O)CNC(C)CCc1ccc(F)cc1,-0.1266106943950541
OC(CN(Cc1ccccc1)Cc1ccccc1)c1cccc(c1)C#N,0.10462329966083812
Fc1ccc(NC(=S)NN=Cc2ccccn2)cc1,-0.11073375754470553
Cl.COc1cc(C)c(cc1C)C(O)CNC(C)CCc1ccccc1,-0.13679689613741144
Cl.CC(CCc1ccccc1)NCC(O)c1ccc2N(C)C(=O)c3cccc1c23,-0.09036645129903176
CC(C)c1ccc(NC(=S)NN=Cc2ccccn2)cc1,-0.14013134010257283
Cl.CC(CCc1ccccc1)NCC(O)c1ccc2N(C)S(=O)(=O)c3cccc1c23,-0.2025342174749237
CC(CCc1ccccc1)NCC(O)c1ccc2Nc3ccccc3S(=O)(=O)c2c1,0.08570634013055609
Cl.CNCC(O)c1cc(Cl)c(Cl)cc1C,-0.035181821841852354
CNC(NCCSCc1cc(C)c(CN(C)C)s1)=CN(=O)=O,-0.4579913874834409
O=C(CCCCCN(Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccc(cc12)C#N,-0.10487595882511055
Nn1c(=O)oc2ccc(Cl)cc2c1=O,-0.7284362682391885
c1ccc2c(c1)[nH]c1c2cnc2ccccc12,-0.06223070620283756
OC(C1CN(Cc2ccccc2)CCC1(O)c1ccccc1)c1ccccc1,-0.07284981589830428
Br.CCCN(CCCCCCN(CCC)CCc1ccc(O)c(O)c1)CCc1ccc(O)cc1,0.005482443458783683
I.Cn1nc2ccc3ccccc3c2nc1=N,-0.11195857299345204
Cl.COc1ccc(CCNCCCCCCNCCc2ccc(OC)c(OC)c2Cl)c(Cl)c1OC,-0.04391249996273931
Cl.COc1ccc(CCNCCCCCCNCCc2cccc(c2)N(=O)=O)cc1OC,-0.0011428356358002142
Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Br)cc2)cc1O,0.010599950914687075
Br.Oc1ccc(CCNCCCCNCCc2ccc(Cl)cc2)cc1O,-0.0739791511892937
Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c(Cl)c1O,-0.11054548186466552
Cl.COc1ccc(CCNCCCCCCNCCc2ccc(cc2)-c2ccccc2)cc1OC,-0.018824444719107162
Br.Oc1ccc(CCNCCCCCCNCCc2ccc(cc2)-c2ccccc2)cc1O,-0.21995286271564862
Cl.COc1ccc(CCNCCCCCNCCc2ccc(Cl)cc2)cc1OC,-0.13038654067385258
Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1OC,-0.23677152821001812
Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1O,-0.14491548343278343
Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c(Cl)c1OC,-0.08348985580074625
Cl.COc1ccc(CCNCCCCCCNCCc2ccccc2Cl)cc1OC,-0.18220899078526018
Br.CCCN(CCCCCCNCCc1ccc(Cl)cc1)CCc1ccc(O)c(O)c1,-0.025508402252311137
Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c(Cl)c2)cc1OC,-0.03322662598680359
Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)c(Cl)c2)cc1O,-0.13907750546613795
Br.CC(C)(Cc1ccc(Cl)cc1)NCCCCCCNCCc1ccc(O)c(O)c1,0.07940018203642193
Cl.COc1ccc(CCNCCCCCNCCCc2ccc(Cl)cc2)cc1OC,-0.09246964486594711
Cl.COc1ccc(CCNCCCCCCNCCCc2ccc(Cl)cc2)cc1OC,-0.021702346211928437
Br.CCCCc1ccc(CCNCCCCCCNCCc2ccc(O)c(O)c2)cc1,0.02825947026381905
Cl.COc1ccc(CNCCCCCCNCCc2ccc(Cl)cc2)cc1OC,0.1440734022064377
Br.Oc1ccc(CNCCCCCCNCCc2ccc(Cl)cc2)cc1O,-0.004589369131816461
Cl.COc1cccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c1,0.003899595514011007
Br.Oc1cccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c1,-0.11136310122239138
CCN(CC)c1ccc(cc1)C(c1ccc(cc1)N(CC)CC)c1ccc(cc1)N(=O)=O,-0.02389315270138846
OC(C1CN(CCc2ccccc2)CCC1(O)c1ccccc1)c1ccccc1,0.016455908937675484
Cl.CCNC1=NC2=C(CC(CC2)C(C)(C)C)C2(CCC(CC2)C(C)(C)C)S1,-0.07887086960766819
Cc1ccc2[nH]c(cc2c1)-c1ccccc1N,-0.03466871081472969
Cl.NC1=NC(CCc2ccccc2)N(C(N)=N1)c1ccc(Cl)cc1,-1.4203466769782278
Cl.NC1=NC(Cc2ccccc2)N(C(N)=N1)c1ccc(Cl)cc1,-0.8629857430473262
CS(O)(=O)=O.NC1=NC(CCc2ccccc2)N(C(N)=N1)c1ccccc1,-1.1130989251012586
Cl.CCCC1N=C(N)N=C(N)N1c1ccccc1,-0.08485396295032978
Cl.CCC1(C)N=C(N)N=C(N)N1c1ccccc1,-0.10137666582759819
Br.CCCC1N=C(N)N=C(N)N1c1ccc(OC)cc1,-0.6303698952185769
Cl.CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,-1.3309324313746544
Br.CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,-1.0215212922779808
Cl.CCCC1N=C(N)N=C(N)N1c1cccc(c1)C(F)(F)F,-0.22593830029471412
Br.CCCC1N=C(N)N=C(N)N1c1cccc(c1)N(=O)=O,-0.11907792536461137
Br.CCCC1N=C(N)N=C(N)N1c1ccc(CC)cc1,-1.174408382006722
Br.CCCC1N=C(N)N=C(N)N1c1ccc(C)c(C)c1,-1.1332759212522623
Cl.CCN(CC)CCCNc1c2ccccc2nc2ccccc12,-0.1232037970488899
CCOC(=O)c1cc(=O)c2ccc(OCC#N)cc2o1,0.011235593593784707
Cl.CC1(C)N=C(N)N=C(N)N1CCc1ccccc1,-1.3246236216578242
Br.COc1nc(nc2ccccc12)-n1ccc(=N)cc1,0.026089315792049785
Cl.Cc1cc2ccccc2c(CON2C(=N)N=C(N)NC2(C)C)c1C,-2.022468989868327
Br.CCc1ccccc1OCCCON1C(=N)N=C(N)NC1(C)C,-2.494850021680094
Br.CCc1cccc(OCCCON2C(=N)N=C(N)NC2(C)C)c1,-2.494850021680094
Br.Cc1cccc(CC=C)c1OCCCON1C(=N)N=C(N)NC1(C)C,-2.494850021680094
Br.CC(C)(C)c1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)c(c1)C(C)(C)C,-2.494850021680094
Br.CC(C)c1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)cc1,-2.494850021680094
OC(=O)C1CN(C(=O)C1)c1ccc(Cl)cc1,-0.6593861032595796
O=C1COc2ccc3ccccc3c12,-0.15406681671600347
O.CN(C)C(CC(=O)N(C)C)C(=O)NCc1ccccc1Cl.CN(C)C(CC(=O)NCc1ccccc1Cl)C(=O)N(C)C,-0.04770840077512588
CC(=O)Nc1[nH]c(nc1C(N)=O)-c1ccccc1,-0.6034190129988641
CCCCc1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,-0.6075988334131377
Cc1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,-0.10176730343754933
Cc1cc(OCc2ccncc2)cc2OC(C)(C)CC(=O)c12,-0.7382408746602771
CNC(=O)c1nc([nH]c1NC(C)=O)-c1ccccc1,-0.8178500825003971
Cl.CCOC(=O)Cc1nc(C(=O)OCC)c(N)[nH]1,-0.18911988745124547
CC(C)(C)c1cc(Cn2ccnc2)cc(c1O)C(C)(C)C,0.016667488411831383
COc1ccc(C(=O)CC(=O)c2ccc(OC)cc2OC)c(OC)c1,-0.5226793630289098
OC(=O)C(Cc1ccccc1)NC(=O)c1cc(=O)c2ccccc2o1,-0.7183272105739709
NC12CC3CC(CC(C3)C1)C2,-0.7839421752443396
Br.CC1(C)NC(N)=NC(=N)N1OCCCCCOc1ccccc1,-2.494850021680094
Br.CCCc1cc(C)ccc1OCCCON1C(N)=NC(N)=NC1(C)C,-2.494850021680094
Br.CCc1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)cc1,-2.494850021680094
Cl.CC(C)Sc1ccc(Cl)cc1CON1C(=N)N=C(N)NC1(C)C,-2.494850021680094
Cl.CC(C)c1ccc(C)c(CON2C(=N)N=C(N)NC2(C)C)c1,-2.494850021680094
Br.CCSc1ccccc1CON1C(=N)N=C(N)NC1(C)C,-2.494850021680094
Br.Cc1cccc2c(CON3C(N)=NC(N)=NC3(C)C)cccc12,-2.494850021680094
Br.Cc1ccc(OCCCON2C(N)=NC(N)=NC2(C)C)c(CC=C)c1,-2.494850021680094
Br.CC1(C)N=C(N)N=C(N)N1OCc1cccc2c1ccc1ccccc21,-2.494850021680094
Br.CCCc1cc(OCCCOc2ccccc2)ccc1OCCCON1C(=N)N=C(N)NC1(C)C,-2.494850021680094
CC(C)(C)c1cc(CN2CCN(Cc3ccccc3)CC2)cc(c1O)C(C)(C)C,-0.11314011225602816
Cc1nccn1Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-0.10363874157345081
C(Oc1ccc(cc1)C1CCCCC1)c1ccccn1,-0.11139293150894373
CN(C)CCOc1cc(O)c2c(OC(C)(C)C=C2c2cccs2)c1,-0.5376020021010439
O.OC1=C(C(=O)c2cccc(F)c12)N(=O)=O,-0.8281581329367945
